660916089,POINT(-111.9718644 41.2446384),Village Inn
660916097,POINT(-111.968458 41.2438398),Wing Wah
660916098,POINT(-111.9677414 41.2440073),Maple Xpress
660916103,POINT(-111.9694987 41.2439729),Sizzler
660916105,POINT(-111.9694826 41.2431823),Denny's
663542970,POINT(-111.9781533 41.2712966),Javier's
664668181,POINT(-111.5283565 40.641654),Snow Hut
664668183,POINT(-111.5308563 40.624519),Summit House
664696717,POINT(-111.5236301 40.6236541),Mid-Mountain
669834980,POINT(-112.0213055 41.1092599),Pizza Hut
669948458,POINT(-112.0085015 41.0973112),Manuel's El Burrito
670197347,POINT(-113.6039226 37.1270862),Pirate Pizza
670198437,POINT(-112.0252277 41.2215786),Moore's Family Restaurant
670198441,POINT(-111.9760145 41.2440594),IHOP
682784472,POINT(-113.554724 37.1133254),Chili's
682784491,POINT(-113.5535116 37.1130515),Mongolian Barbecue
682784497,POINT(-113.5534366 37.1137189),Outback Steakhouse
682784502,POINT(-113.5539139 37.1108697),Starbucks
682784529,POINT(-113.555062 37.1102196),Chuck-A-Rama
682784536,POINT(-113.5545094 37.1123157),Red Lobster
682816224,POINT(-113.5540114 37.1092026),Brick Oven
682816232,POINT(-113.5549436 37.1046743),Olive Garden
683051408,POINT(-113.5198992 37.1289046),Red Robin
683061007,POINT(-113.5864484 37.0917799),Pizza Hut
683773002,POINT(-113.5220722 37.1273053),Pollo Loco
687871915,POINT(-112.0912588 40.6973318),Subway
687891911,POINT(-112.0861905 40.6967551),El Habenero
687891912,POINT(-112.0848118 40.6961369),Pizza Hut
687891913,POINT(-112.0825427 40.6961328),Carl's Jr
687891914,POINT(-112.0830469 40.6953804),Papa Murphy's Take-and-Bake Pizza
687891919,POINT(-112.0901886 40.6961727),Arctic Circle
689771107,POINT(-111.9705371 41.2005359),Old China Buffet
689771108,POINT(-111.9713605 41.2011131),Golden Dragon
689771112,POINT(-111.9704968 41.202667),Dee's
691124392,POINT(-111.8637747 40.4084859),The Big Easy
691124631,POINT(-111.853754 40.4015661),Sparks Lounge
691165961,POINT(-112.0266495 41.1247827),Winger's
697189318,POINT(-111.8348688 40.3888176),Tepanyanki Restaurant
697207143,POINT(-111.8364374 40.3921311),Winger's
699778937,POINT(-111.9730808 41.0987627),Guadalajara's Grill
699778941,POINT(-111.974293 41.0897917),Javier's
699778946,POINT(-111.9726731 41.1017823),Ligori's
699778949,POINT(-111.972807 41.0995428),Kasbah Grill
702784305,POINT(-109.5498468 38.5725163),Eddie McStiff's
703488514,POINT(-109.9884582 40.2959313),Western Grill
703556408,POINT(-112.0255498 41.1200457),Argentine Corner
711314771,POINT(-111.9719029 41.196539),Chuck-A-Rama
711314777,POINT(-111.9715059 41.19731),Ye Lion's Den
730963653,POINT(-111.8337094 40.71295),House of Bread
734834564,POINT(-111.8619256 41.2545914),The Oaks
746023521,POINT(-111.9730425 41.0995504),China Hill
746025368,POINT(-111.9802335 41.0895122),Noodles & Company
746025371,POINT(-111.9798499 41.0895122),Rumbi Island Grill
746025373,POINT(-111.9818348 41.0902035),Cafe Rio
752700481,POINT(-111.9818294 41.0832249),Holy Smoke BBQ
752700495,POINT(-111.9787234 41.0834675),Corbin's Grille
752700523,POINT(-111.9789809 41.0833462),Rooster's Brewing
767632061,POINT(-111.9790014 41.1987419),Moore's Family Restaurant
780941242,POINT(-111.8236577 40.6697198),Visconti's House
801814641,POINT(-111.5831854 40.5979849),Alpine Rose
801826412,POINT(-111.5831425 40.6031413),Brighton Store
801826983,POINT(-111.5831425 40.6031413),Brighton Store
836056418,POINT(-111.8808597 41.252698),Grey Cliff Lodge
839608865,POINT(-111.9711265 41.2096871),Utah Noodle Parlor
839608866,POINT(-111.9711104 41.2094571),Bangkok Grill
868653950,POINT(-112.0066178 40.7724835),Roberts Restaurant
869010058,POINT(-113.529684 37.1248372),Texas Roadhouse
870064561,POINT(-113.5837346 37.1103325),Pasta Factory
870064564,POINT(-113.5837422 37.1104981),Pizza Factory
879452337,POINT(-113.5561895 37.105425),Applebee's
880049074,POINT(-113.583109 37.0874603),Denny's
880064542,POINT(-113.5553568 37.1081582),Golden Corral
880066295,POINT(-113.5558944 37.1071276),Jimmy John's
880066299,POINT(-113.5556009 37.112201),Samurai 21
883329842,POINT(-112.9984125 37.1892442),Zion Pizza & Noodle
884304933,POINT(-112.5266879 37.0444286),Grandma Tina's
889348288,POINT(-109.5508999 38.5719014),Zax Pizza
904095151,POINT(-112.9975893 37.1892645),Pioneer restaurant
907061059,POINT(-110.708754 38.3746664),Red Rock Restaurant
917068280,POINT(-109.5509225 38.5723924),Red Rock Bakery & Net Cafe
917068282,POINT(-109.5529609 38.5732815),Rio Sports Bar & Grill
917068287,POINT(-109.5500963 38.5723421),Wake & Bake Cafe
917068292,POINT(-109.5477641 38.5605798),Mi Ranchito Mexicano
917068293,POINT(-109.542554 38.567653),Milt's Stop & Eat
917068294,POINT(-109.5489913 38.5730886),Panteli's Desert Bistro
917068306,POINT(-109.405175 38.7000578),Sorrel River Grill
917068308,POINT(-109.552403 38.576645),Jeffrey's Steakhouse
917068311,POINT(-109.5510083 38.5753701),Love Muffin Cafe
917068317,POINT(-109.5510228 38.5750564),Jailhouse Cafe
917068319,POINT(-109.6741018 38.6554814),Bar M Chuckwagon
917068322,POINT(-109.4471719 38.6804604),Cowboy Grill
917068334,POINT(-109.5492311 38.5730936),Singha Thai Cuisine
917068337,POINT(-109.55054 38.5750564),Cassano's Italian Restaurant
917068346,POINT(-109.5517738 38.5819004),La Hacienda
917068349,POINT(-109.5503576 38.5784869),Eklecticafe
917068370,POINT(-109.5028932 38.529051),Branding Iron Bar & Grill
917068372,POINT(-109.5555182 38.5872092),Sunset Grill
917068387,POINT(-109.5511193 38.5738896),Miguel's Baja Grill
917068394,POINT(-109.5512181 38.5697588),Fiesta Mexicana
917068396,POINT(-109.5513554 38.5704086),Pancake Haus
937546158,POINT(-113.0061801 37.1799359),Parallel Eighty-Eight
944729504,POINT(-111.7235708 40.3448179),Los Hermanos
944729505,POINT(-111.7223477 40.3446952),Pizza Factory
944917160,POINT(-111.7817941 40.373359),Beany's
950686028,POINT(-111.8282857 40.3880375),Texas Road House
950702707,POINT(-111.8241985 40.3874328),Panda Express
950709673,POINT(-111.8210979 40.3861416),Cafe Rio
950709683,POINT(-111.8225892 40.3867627),IHOP
950743481,POINT(-111.818759 40.3852917),Chili's Bar and Grill
950844464,POINT(-111.8122104 40.3771796),Olive Garden
951072629,POINT(-111.9761405 40.361532),China Express
